Epoch 1, Average Loss: 7.370477
Epoch 2, Average Loss: 6.729588
Epoch 3, Average Loss: 6.338937
Epoch 4, Average Loss: 5.975393
Epoch 5, Average Loss: 5.638619
Epoch 6, Average Loss: 5.317829
Epoch 7, Average Loss: 4.972499
Epoch 8, Average Loss: 4.622818
Epoch 9, Average Loss: 4.266204
Epoch 10, Average Loss: 3.893605
Epoch 11, Average Loss: 3.509637
Epoch 12, Average Loss: 3.138998
Epoch 13, Average Loss: 2.758750
Epoch 14, Average Loss: 2.401730
Epoch 15, Average Loss: 2.053981
Epoch 16, Average Loss: 1.752656
Epoch 17, Average Loss: 1.477001
Epoch 18, Average Loss: 1.226801
Epoch 19, Average Loss: 1.004837
Epoch 20, Average Loss: 0.822089
Epoch 21, Average Loss: 0.664538
Epoch 22, Average Loss: 0.539027
Epoch 23, Average Loss: 0.437608
Epoch 24, Average Loss: 0.360531
Epoch 25, Average Loss: 0.289824
