Epoch 1, Average Loss: 4.306857
Epoch 2, Average Loss: 4.060965
Epoch 3, Average Loss: 3.684012
Epoch 4, Average Loss: 3.400754
Epoch 5, Average Loss: 2.826521
Epoch 6, Average Loss: 2.422775
Epoch 7, Average Loss: 1.803348
Epoch 8, Average Loss: 1.456915
Epoch 9, Average Loss: 1.133273
Epoch 10, Average Loss: 0.819005
